"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, mountain bike, bmx",502,598,695,791,1.750729719
"Cycling, <10 mph, leisure bicycling",236,281,327,372,0.82323563
"Cycling, >20 mph, racing",944,1126,1308,1489,3.294973528
"Cycling, 10-11.9 mph, light",354,422,490,558,1.234853445
"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.647825266
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,2.059443081
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,2.471060896
Unicycling,295,352,409,465,1.02972154
"Stationary cycling, very light",177,211,245,279,0.617426722
"Stationary cycling, light",325,387,449,512,1.132625994
"Stationary cycling, moderate",413,493,572,651,1.441339355
"Stationary cycling, vigorous",620,739,858,977,2.162347534
"Stationary cycling, very vigorous",738,880,1022,1163,2.574642352
"Calisthenics, vigorous, pushups, situps…",472,563,654,745,1.647825266
"Calisthenics, light",207,246,286,326,0.721008179
"Circuit training, minimal rest",472,563,654,745,1.647825266
"Weight lifting, body building, vigorous",354,422,490,558,1.234853445
"Weight lifting, light workout",177,211,245,279,0.617426722
Health club exercise,325,387,449,512,1.132625994
Stair machine,531,633,735,838,1.85295717
"Rowing machine, light",207,246,286,326,0.721008179
"Rowing machine, moderate",413,493,572,651,1.441339355
"Rowing machine, vigorous",502,598,695,791,1.750729719
"Rowing machine, very vigorous",708,844,981,1117,2.471060896
Ski machine,413,493,572,651,1.441339355
"Aerobics, low impact",295,352,409,465,1.02972154
"Aerobics, high impact",413,493,572,651,1.441339355
"Aerobics, step aerobics",502,598,695,791,1.750729719
"Aerobics, general",384,457,531,605,1.338434901
Jazzercise,354,422,490,558,1.234853445
"Stretching, hatha yoga",236,281,327,372,0.82323563
Mild stretching,148,176,204,233,0.515199272
Instructing aerobic class,354,422,490,558,1.234853445
Water aerobics,236,281,327,372,0.82323563
"Ballet, twist, jazz, tap",266,317,368,419,0.92749409
"Ballroom dancing, slow",177,211,245,279,0.617426722
"Ballroom dancing, fast",325,387,449,512,1.132625994
"Running, 5 mph (12 minute mile)",472,563,654,745,1.647825266
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,1.85295717
"Running, 6 mph (10 min mile)",590,704,817,931,2.059443081
"Running, 6.7 mph (9 min mile)",649,774,899,1024,2.265251988
"Running, 7 mph (8.5 min mile)",679,809,940,1070,2.368156442
"Running, 7.5mph (8 min mile)",738,880,1022,1163,2.574642352
"Running, 8 mph (7.5 min mile)",797,950,1103,1256,2.779774257
"Running, 8.6 mph (7 min mile)",826,985,1144,1303,2.88267871
"Running, 9 mph (6.5 min mile)",885,1056,1226,1396,3.089164621
"Running, 10 mph (6 min mile)",944,1126,1308,1489,3.294973528
"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675,3.706591343
"Running, cross country",531,633,735,838,1.85295717
"Running, general",472,563,654,745,1.647825266
"Running, on a track, team practice",590,704,817,931,2.059443081
"Running, stairs, up",885,1056,1226,1396,3.089164621
"Track and field (shot, discus)",236,281,327,372,0.82323563
"Track and field (high jump, pole vault)",354,422,490,558,1.234853445
Track and field (hurdles),590,704,817,931,2.059443081
Archery,207,246,286,326,0.721008179
Badminton,266,317,368,419,0.92749409
"Basketball game, competitive",472,563,654,745,1.647825266
"Playing basketball, non game",354,422,490,558,1.234853445
"Basketball, officiating",413,493,572,651,1.441339355
"Basketball, shooting baskets",266,317,368,419,0.92749409
"Basketball, wheelchair",384,457,531,605,1.338434901
"Running, training, pushing wheelchair",472,563,654,745,1.647825266
Billiards,148,176,204,233,0.515199272
Bowling,177,211,245,279,0.617426722
"Boxing, in ring",708,844,981,1117,2.471060896
"Boxing, punching bag",354,422,490,558,1.234853445
"Boxing, sparring",531,633,735,838,1.85295717
"Coaching: football, basketball, soccer…",236,281,327,372,0.82323563
"Cricket (batting, bowling)",295,352,409,465,1.02972154
Croquet,148,176,204,233,0.515199272
Curling,236,281,327,372,0.82323563
Darts (wall or lawn),148,176,204,233,0.515199272
Fencing,354,422,490,558,1.234853445
